url,title,breadcrumbs,tags,img_url,description,additional_img_urls,local_img_url,local_additional_img_urls
https://www.adl.org/resources/hate-symbol/1-11,1-11,"['Hate on Display', '1-11']","['Numeric Hate Symbols', 'White Supremacist Prison Gang Symbols']",https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/111-numeric-1-1.jpg.webp,"['1-11 is a numeric symbol used by the Aryan Knights, an Idaho-based prison gang, to identify themselves. Substituting letters for numbers, 1 and 11 mean A and K, i.e., Aryan Knights.']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/111-numeric-2_0.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/111-numeric-3.jpeg.webp']",1-11_1.webp,"['1-11_2.webp', '1-11_3.webp']"
https://www.adl.org/resources/hate-symbol/100,100%,"['Hate on Display', '100%']",['Numeric Hate Symbols'],https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/100-percent-1.jpg.webp,"['100% is shorthand among white supremacists for ""100% white,"" though it is also common for them to write out the entire phrase. Among prison populations and places such as California where peckerwood gangs are common, one might also see ""100% peckerwood,"" ""100% featherwood,"" or ""100% wood.""', 'Variations abound. Some white supremacists will refer to themselves as ""101% white,"" for example. Occasionally the percentage ""123%"" appears, which also means ""100% white,"" as the 23 refers to W, the 23rd letter of the alphabet. Some white supremacist gang members may substitute an alphanumeric equivalent, such as ""112%"" to refer to ""100% Aryan Brotherhood"" or ""113%"" to refer to ""100% Aryan Circle.""\xa0']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/100-percent-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/100-percent-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/100-percent-4.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/100-percent-5.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/100-percent-6.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/100-percent-7.jpeg.webp']",100_1.webp,"['100_2.webp', '100_3.webp', '100_4.webp', '100_5.webp', '100_6.webp', '100_7.webp']"
https://www.adl.org/resources/hate-symbol/109110,109/110,"['Hate on Display', '109/110']",['Numeric Hate Symbols'],https://www.adl.org/sites/default/files/styles/wide/public/2019-08/109110-1.jpg.webp,"['The number 109 is white supremacist numeric shorthand for an antisemitic claim that Jews have been expelled from 109 different countries.\xa0 Various antisemites have compiled lists of alleged Jewish “expulsions” ranging from 100 to more than 1,000 in number, but the figure of 109 is the most commonly cited and probably originates with a list of “109 locations” appearing on a longstanding Australian antisemitic website.', 'Antisemites use this purported figure to claim that Jews must be a malicious and harmful people to have been expelled from so many places; they also use the figure to call for the expulsion of Jews from countries where they currently live.', 'The concept of 109 expulsions has also led to frequent use of the number 110 by white supremacists, generally to urge that the United States or some other specific location be the next and 110th place to expel Jews. This is sometimes combined with the numeric code 1488, appearing as “1488-110.” Such usage is often associated with members of the white supremacist group League of the South.']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/109110-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/109110-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/109110-4.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/109110-5.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/109110-6.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/109110-7.jpeg.webp']",109_110_1.webp,"['109_110_2.webp', '109_110_3.webp', '109_110_4.webp', '109_110_5.webp', '109_110_6.webp', '109_110_7.webp']"
https://www.adl.org/resources/hate-symbol/12,12,"['Hate on Display', '12']","['Anti-Bias Education', 'Numeric Hate Symbols', 'White Supremacist Prison Gang Symbols']",https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/12-numeric-1.jpg.webp,"['The number 12 is a numeric symbol for Aryan Brotherhood-named racist prison gangs (as are the numbers 1 and 2 separately), especially the Aryan Brotherhood of Texas. Substituting letters for numbers, 12 equals AB, i.e., Aryan Brotherhood. Sometimes the number 12 is written in Roman numerals, as I and II or as XII. From this basic numeric symbol, a number of variants have emerged, such as 112% for ""100% Aryan Brotherhood,"" 126 for ""Aryan Brotherhood Forever,"" or 1-2-20 for ""Aryan Brotherhood of Texas.""']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/12-numeric-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/12-numeric-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/12-numeric-4.jpeg.webp']",12_1.webp,"['12_2.webp', '12_3.webp', '12_4.webp']"
https://www.adl.org/resources/hate-symbol/13,13,"['Hate on Display', '13']","['Numeric Hate Symbols', 'White Supremacist Prison Gang Symbols']",https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/13-numeric-1.jpg.webp,"['The number 13 is a numeric symbol for the Aryan Circle, the large Texas-based racist prison gang. Substituting letters for numbers, 1 and 3 equals A and C, i.e., AC or Aryan Circle. From this derive several variants, such as 113% for ""100% Aryan Circle,"" or 136 for ""Aryan Circle Forever.""']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13-numeric-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13-numeric-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13-numeric-4.jpeg.webp']",13_1.webp,"['13_2.webp', '13_3.webp', '13_4.webp']"
https://www.adl.org/resources/hate-symbol/1352-1390,13/52 & 13/90,"['Hate on Display', '13/52 & 13/90']",['Numeric Hate Symbols'],https://www.adl.org/sites/default/files/styles/wide/public/2019-08/13521390-1.jpg.webp,"['The number 13 used in conjunction with either the number 52 or the number 90 is a shorthand reference to racist propaganda claims by white supremacists against African Americans to depict them as savage and criminal in nature.', 'In this numeric shorthand, the number 13 refers to the purported percentage of the U.S. population that is African American.\xa0 The number 52 refers to the alleged percentage of all murders committed in the U.S. that are committed by African Americans.\xa0 Some white supremacists use the number 50 instead of 52.', 'Similarly, white supremacists claim the number 90 refers to the percentage of violent interracial crime allegedly committed by African Americans. Some white supremacists cite the 1994 National Crime Victimization Survey produced by the Justice Department as evidence for the percentage. However, this figure does not show up in the survey itself and is not considered an accurate one. In any case, it should be noted that the vast majority of violent crime is intraracial (committed by a person of one race against a person of the same race), not interracial, in nature.', 'White supremacists typically employ references to 13 (by itself), 13/50, 13/52 or 13/90 in response to social media posts, and in the comments sections of news stories about crimes in which the suspected perpetrator is African American. In some instances, white supremacists use the numbers as a purported police radio code, using language like, “We have a 1390 in progress.”']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13521390-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13521390-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13521390-4.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13521390-5.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13521390-6.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/13521390-7.jpeg.webp']",13_52_13_90_1.webp,"['13_52_13_90_2.webp', '13_52_13_90_3.webp', '13_52_13_90_4.webp', '13_52_13_90_5.webp', '13_52_13_90_6.webp', '13_52_13_90_7.webp']"
https://www.adl.org/resources/hate-symbol/14,14,"['Hate on Display', '14']","['General Hate Symbols', 'Numeric Hate Symbols']",https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/14-numeric-1.jpg.webp,"['The number 14 is used by white supremacists as a shorthand reference to the so-called ""14 Words,"" which is the most popular white supremacist slogan in the world:\xa0 ""We must secure the existence of our people and a future for white children.""\xa0 The slogan was coined by David Lane, a member of the white supremacist terrorist group known as The Order (Lane died in prison in 2007).\xa0\xa0The numeric symbol 14 is used even in those countries where the translated version of the slogan comes to fewer or greater than 14 actual words.\xa0', 'Because of its symbolic significance, white supremacist groups use the number widely, either by itself or in conjunction with other numeric symbols, especially 88 (which\xa0stands for ""Heil Hitler"").\xa0 Thus white supremacists may incorporate the number 14 into the names of groups or publications, into screen names or e-mail addresses, or virtually anywhere else.']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-numeric-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-numeric-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-numeric-4.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-numeric-5.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-numeric-6.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-numeric-7.jpeg.webp']",14_1.webp,"['14_2.webp', '14_3.webp', '14_4.webp', '14_5.webp', '14_6.webp', '14_7.webp']"
https://www.adl.org/resources/hate-symbol/14-words,14 Words,"['Hate on Display', '14 Words']",[],https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/14-words-1.jpg.webp,"['""14 Words"" is a reference to the most popular white supremacist slogan in the world: ""We must secure the existence of our people and a future for white children."" The slogan was coined by David Lane, a member of the white supremacist terrorist group known as The Order (Lane died in prison in 2007). The term reflects the primary white supremacist worldview in the late 20th and early 21st centuries: that unless immediate action is taken, the white race is doomed to extinction by an alleged ""rising tide of color"" purportedly controlled and manipulated by Jews.', 'Because of its widespread popularity, white supremacists reference this slogan constantly, in its full form as well as in abbreviated versions such as ""14 Words"", ""Fourteen Words,"" or simply the number ""14.""']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-words-2.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-words-3.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-words-4.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-words-5.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-words-6.jpeg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/2022-05/14-words-7.jpeg.webp']",14_Words_1.webp,"['14_Words_2.webp', '14_Words_3.webp', '14_Words_4.webp', '14_Words_5.webp', '14_Words_6.webp', '14_Words_7.webp']"
https://www.adl.org/resources/hate-symbol/1423,1423,"['Hate on Display', '1423']",[],https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/1423-numeric-1.jpg.webp,"['The number combination 14/23 is a numeric symbol associated with the Southern Brotherhood, the largest white supremacist prison gang in Alabama. The 14 is a reference to the white supremacist ""14 Words"" slogan (""We must secure the existence of our people and a future for white children""), while the 23 refers to the ""23 precepts,"" a list of rules that Southern Brotherhood members must follow, such as ""do not make a debt you cannot pay"" and ""no huffing lacquer.""']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1423-numeric-2.jpg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1423-numeric-3.jpg.webp']",1423_1.webp,"['1423_2.webp', '1423_3.webp']"
https://www.adl.org/resources/hate-symbol/1488,1488,"['Hate on Display', '1488']","['General Hate Symbols', 'Numeric Hate Symbols']",https://www.adl.org/sites/default/files/styles/wide/public/images/combating-hate/hate-on-display/c/1488-numeric-1.jpg.webp,"['ALTERNATE NAMES: 8814', '1488 is a combination of two popular white supremacist numeric symbols. The first symbol is 14, which is shorthand for the ""14 Words"" slogan: ""We must secure the existence of our people and a future for white children."" The second is 88, which stands for ""Heil Hitler"" (H being the 8th letter of the alphabet). Together, the numbers form a general endorsement of white supremacy and its beliefs. As such, they are ubiquitous within the white supremacist movement - as graffiti, in graphics and tattoos, even in screen names and e-mail addresses, such as aryanprincess1488@hate.net.\xa0 Some white supremacists will even price racist merchandise, such as t-shirts or compact discs, for $14.88.', 'The symbol is most commonly written as 1488 or 14/88, but variations such as 14-88 or 8814 are also common.']","['https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1488-numeric-2.jpg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1488-numeric-3.jpg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1488-numeric-4.jpg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1488-numeric-6.jpg.webp', 'https://www.adl.org/sites/default/files/styles/content_card_image_large/public/images/combating-hate/hate-on-display/c/1488-numeric-7.jpg.webp']",1488_1.webp,"['1488_2.webp', '1488_3.webp', '1488_4.webp', '1488_5.webp', '1488_6.webp']"
